gisjoin,YEAR,STATE,COUNTY,Total Population 2016,Median Age,white %,black %,Amerindian %,asian %,Pacific %,Other %,Multi %,hispanic %,Asian/Pac/Other/Multi?,Bachelor Above %,Median Household Income,2016_votes,County Power Index 2016
G0100770,2012-2016,Alabama,Lauderdale County,92641,41.3,0.849915264,0.097634956,0.004004706,0.00678965,0.000161915,0.001867424,0.015694995,0.023931089,0.024513984,0.216792298,43657,38813,0.01867657
G0100790,2012-2016,Alabama,Lawrence County,33433,42.2,0.766577932,0.113660156,0.049442168,0.000927228,0,0,0.048724314,0.020668202,0.049651542,0.103086183,42339,14623,0.0070365
G0100810,2012-2016,Alabama,Lee County,153947,30.5,0.678675129,0.230865168,0.001156242,0.035525213,7.15E-05,0.002734707,0.014069777,0.036902311,0.052401151,0.344121466,45056,57668,0.02774948
G0100830,2012-2016,Alabama,Limestone County,90257,39,0.774366531,0.126749172,0.005838882,0.012331454,0.000132954,0.001384934,0.022302979,0.056893094,0.036152321,0.232606873,51115,39400,0.01895903
G0100850,2012-2016,Alabama,Lowndes County,10565,40.4,0.244013251,0.746426881,0.000757217,0,0,0,0.004070043,0.004732608,0.004070043,0.12281926,27914,6676,0.00321245
G0100870,2012-2016,Alabama,Macon County,19684,38.2,0.154236944,0.81533225,0.00284495,0.002235318,0,0.003302174,0.005588295,0.016460069,0.011125787,0.200418882,32390,8748,0.00420948
G0100890,2012-2016,Alabama,Madison County,349973,38.1,0.654310475,0.23982993,0.005500424,0.024367594,0.000920071,0.002108734,0.026210593,0.046752178,0.053606993,0.406719269,60150,159473,0.07673741
G0100910,2012-2016,Alabama,Marengo County,20066,42.2,0.45450015,0.527608891,0.002491777,0.002142928,0,0.000348849,0.003438652,0.009468753,0.00593043,0.147890928,30713,10948,0.00526811
G0100930,2012-2016,Alabama,Marion County,30239,43.9,0.920466947,0.032474619,0.003803036,0.003240848,0,0,0.01600582,0.02400873,0.019246668,0.124663386,34074,12912,0.00621317
G0100950,2012-2016,Alabama,Marshall County,94534,38.8,0.82341803,0.020902532,0.004347642,0.005881482,0.000211564,0.000401972,0.015676899,0.129159879,0.022171917,0.165672443,39831,34965,0.01682494
G0100970,2012-2016,Alabama,Mobile County,414291,37.2,0.578508826,0.352015854,0.006068198,0.019438028,0.000118274,0.001303432,0.016099795,0.026447594,0.036959528,0.225123957,44263,163387,0.0786208
G0100990,2012-2016,Alabama,Monroe County,21975,41.5,0.546666667,0.424163823,0.011422071,0.002275313,0,0,0.009283276,0.006188851,0.011558589,0.123950849,28182,10185,0.00490096
G0101010,2012-2016,Alabama,Montgomery County,227392,36,0.359423375,0.566893294,0.001284126,0.022349071,0.000149522,0.001385273,0.015400718,0.033114621,0.039284583,0.314595661,45358,94572,0.04550745
G0101030,2012-2016,Alabama,Morgan County,119555,39.8,0.766191293,0.1205303,0.005252813,0.00670821,4.18E-05,0.001045544,0.022115344,0.078114675,0.02991092,0.214291809,46883,49991,0.02405536
G0101050,2012-2016,Alabama,Perry County,9856,37.1,0.296266234,0.685876623,0.000405844,0.001826299,0,0.000507305,0.005580357,0.009537338,0.007913961,0.144925097,24912,5255,0.00252867
G0101070,2012-2016,Alabama,Pickens County,20042,42.2,0.548548049,0.417722782,0.001197485,0.000598743,0.000449057,0.000399162,0.006835645,0.024249077,0.008282607,0.111190003,31679,9494,0.00456845
G0101090,2012-2016,Alabama,Pike County,33277,31.2,0.565615891,0.374162334,0.006460919,0.021155753,6.01E-05,0,0.010607927,0.021937074,0.031823782,0.239881741,33193,13025,0.00626755
G0101110,2012-2016,Alabama,Randolph County,22615,42.8,0.754366571,0.191863807,0.003272164,0.00225514,0.001945611,0,0.017068317,0.029228388,0.021269069,0.15379191,37496,10130,0.00487449
G0101130,2012-2016,Alabama,Russell County,58636,34.8,0.48715806,0.420202606,0.003683744,0.006787639,0.002182959,0.000852718,0.028412579,0.050719694,0.038235896,0.17014105,38400,19136,0.00920812
G0101150,2012-2016,Alabama,St. Clair County,86576,40,0.863033635,0.093547865,0.002772131,0.007981427,0,0.000277213,0.00973711,0.022650619,0.017995749,0.161038399,54042,37937,0.01825505
G0101170,2012-2016,Alabama,Shelby County,205951,38.1,0.78895951,0.115634301,0.00194221,0.019849382,0.00032532,0.000844861,0.014853048,0.057591369,0.03587261,0.414229914,72310,99208,0.04773827
G0101190,2012-2016,Alabama,Sumter County,13285,36.5,0.245765901,0.716597667,0.003086187,0.028227324,0,0,0.003387279,0.002935642,0.031614603,0.181203189,20428,6391,0.00307531
G0101210,2012-2016,Alabama,Talladega County,81057,40.8,0.635194986,0.320502856,0.002566095,0.005206213,0.000357773,0.000530491,0.014027166,0.021614419,0.020121643,0.130909221,37923,33218,0.01598429
G0101230,2012-2016,Alabama,Tallapoosa County,40958,43,0.690731969,0.270252454,0.003369305,0.005078373,0,0,0.006445627,0.024122272,0.011524,0.173158077,39395,18504,0.00890401
G0101250,2012-2016,Alabama,Tuscaloosa County,202471,32.1,0.629788957,0.30961471,0.001313768,0.014979923,0.00014323,0.001185355,0.010050822,0.032923233,0.02635933,0.293694937,48022,81708,0.03931738
G0101270,2012-2016,Alabama,Walker County,65593,42.3,0.895644352,0.056576159,0.000548839,0.00460415,0,0,0.02001738,0.02260912,0.02462153,0.105428089,37025,29243,0.01407155
G0101290,2012-2016,Alabama,Washington County,16909,41.4,0.650600272,0.247737891,0.078124076,0.006505411,0,0,0.004080667,0.012951683,0.010586078,0.096233947,40293,8492,0.0040863
G0101310,2012-2016,Alabama,Wilcox County,11119,40.2,0.274305243,0.719489163,0.000629553,0,0,0,0,0.005576041,0,0.113022443,24442,6095,0.00293288
G0101330,2012-2016,Alabama,Winston County,24013,44.1,0.94273935,0.004081123,0.003623038,0.003498105,0,0,0.016907508,0.029150877,0.020405614,0.130890355,33896,10255,0.00493464
G0200130,2012-2016,Alaska,Aleutians East Borough,3299,42.8,0.149136102,0.06608063,0.333131252,0.294634738,0.010912398,0,0.045771446,0.100333434,0.351318581,0.119449902,65926,547,0.00170442
G0200160,2012-2016,Alaska,Aleutians West Census Area,5714,37.6,0.260413021,0.054427721,0.126181309,0.360343017,0.024676234,0.001925096,0.033776689,0.138256913,0.420721036,0.156994943,86964,1227,0.00382325
G0200200,2012-2016,Alaska,Anchorage Municipality,299321,32.8,0.59844782,0.053126911,0.067145306,0.08803258,0.022320519,0.001844174,0.081915402,0.087167289,0.194112675,0.342979977,80862,131072,0.40841178
G0200500,2012-2016,Alaska,Bethel Census Area,17885,26.8,0.104221415,0.007548225,0.812971764,0.009001957,0.002348337,0,0.043835616,0.020072687,0.05518591,0.114174471,53296,4944,0.01540518
G0200600,2012-2016,Alaska,Bristol Bay Borough,942,40.7,0.530785563,0.003184713,0.317409767,0.011677282,0.002123142,0,0.085987261,0.048832272,0.099787686,0.191063174,88000,464,0.00144579
G0200680,2012-2016,Alaska,Denali Borough,2125,37.3,0.852705882,0.009882353,0.031058824,0.033882353,0,0.001882353,0.062588235,0.008,0.098352941,0.385229541,81302,1113,0.00346804
G0200700,2012-2016,Alaska,Dillingham Census Area,4980,29.7,0.168273092,0.002409639,0.712851406,0.021686747,0.000200803,0,0.065060241,0.029518072,0.086947791,0.175637394,56055,1908,0.0059452
G0200900,2012-2016,Alaska,Fairbanks North Star Borough,100150,30.7,0.715257114,0.039760359,0.06001997,0.028836745,0.005032451,0.001038442,0.075307039,0.074747878,0.110214678,0.333725356,73831,41180,0.12831419
G0201000,2012-2016,Alaska,Haines Borough,2528,44.6,0.768987342,0.00039557,0.047468354,0.033623418,0.001977848,0,0.131329114,0.016218354,0.16693038,0.404439632,53125,1655,0.00515687
G0201050,2012-2016,Alaska,Hoonah-Angoon Census Area,2107,48.4,0.4831514,0.034646417,0.308020883,0.022781206,0.000474608,0.001898434,0.099193166,0.049833887,0.124347413,0.242558581,54091,1431,0.0044589
G0201100,2012-2016,Alaska,Juneau City and Borough,32524,37.5,0.656622802,0.011191735,0.116437093,0.064875169,0.009961874,0.004519739,0.073422703,0.062968885,0.152779486,0.39433776,87436,16573,0.05164038
G0201220,2012-2016,Alaska,Kenai Peninsula Borough,57637,40.5,0.814008363,0.005604039,0.071308361,0.013203324,0.003296494,0.001474747,0.052691847,0.038412825,0.070666412,0.236810157,64891,29034,0.09046804
G0201300,2012-2016,Alaska,Ketchikan Gateway Borough,13715,39.2,0.645862195,0.004958075,0.129420343,0.075610645,0.000729129,0.005395552,0.091797302,0.046226759,0.173532629,0.237696224,64162,6337,0.01974568
G0201500,2012-2016,Alaska,Kodiak Island Borough,13918,32.7,0.507759736,0.00114959,0.125377209,0.218709585,0.009771519,0,0.050222733,0.087009628,0.278703837,0.248499667,73068,5818,0.01812851
G0201580,2012-2016,Alaska,Kusilvak Census Area,7993,23.3,0.037282622,0.003503065,0.88414863,0.003878394,0,0.000375328,0.057425247,0.013386713,0.061678969,0.047972436,38160,501,0.00156108
G0201640,2012-2016,Alaska,Lake and Peninsula Borough,1411,31.9,0.202693125,0.007795889,0.68107725,0.028348689,0.000708717,0,0.058823529,0.020552799,0.087880936,0.124550898,43864,45251,0.14099916
G0201700,2012-2016,Alaska,Matanuska-Susitna Borough,98679,34.8,0.803747505,0.009839986,0.050415995,0.013285501,0.001773427,0.002290254,0.073419877,0.045227455,0.090769059,0.205876729,73908,3292,0.01025766
G0201800,2012-2016,Alaska,Nome Census Area,9879,27.7,0.152849479,0.007591862,0.723048892,0.012855552,0.002226946,0,0.079967608,0.021459662,0.095050106,0.139104699,51563,2319,0.00722585
G0201850,2012-2016,Alaska,North Slope Borough,9681,33.8,0.315669869,0.004751575,0.509141618,0.059084805,0.016527218,0.000723066,0.055779362,0.038322487,0.132114451,0.141817031,72027,2183,0.00680209
G0201880,2012-2016,Alaska,Northwest Arctic Borough,7723,26.3,0.111614658,0.003237084,0.820924511,0.007898485,0.000129483,0,0.035089991,0.021105788,0.043117959,0.10761999,61341,1728,0.00538433
G0201950,2012-2016,Alaska,Petersburg Borough,3196,40.8,0.670212766,0.023466834,0.074780976,0.044430538,0.006257822,0.000625782,0.076658323,0.103566959,0.127972466,0.250118203,63940,2863,0.00892092
G0201980,2012-2016,Alaska,Prince of Wales-Hyder Census Area,6374,40.5,0.45136492,0.002039536,0.400219642,0.010825227,0.005961719,0.001098211,0.093818638,0.034672105,0.111703797,0.157919075,51887,4475,0.01394381
G0202200,2012-2016,Alaska,Sitka City and Borough,8921,39.1,0.621454994,0.021858536,0.124985988,0.067817509,0.003699137,0,0.097858984,0.062324851,0.169375631,0.323538755,70160,839,0.00261427
G0202300,2012-2016,Alaska,Skagway Municipality,1014,44.1,0.764299803,0.004930966,0.046351085,0.07495069,0,0.001972387,0.044378698,0.063116371,0.121301775,0.337050806,64853,3433,0.010697
G0202400,2012-2016,Alaska,Southeast Fairbanks Census Area,6970,36.4,0.753945481,0.012625538,0.110186514,0.017790531,0.000430416,0,0.054375897,0.050645624,0.072596844,0.191991101,63713,4484,0.01397185
G0202610,2012-2016,Alaska,Valdez-Cordova Census Area,9522,37.6,0.701428271,0.001260239,0.143772317,0.037072044,0.005356018,0.00021004,0.064272212,0.046628859,0.106910313,0.300877893,82511,2055,0.00640325
G0202750,2012-2016,Alaska,Wrangell City and Borough,2401,48.8,0.663890046,0.002915452,0.174927114,0.03456893,0,0.000832986,0.092877968,0.029987505,0.128279883,0.202603282,52986,1132,0.00352724
G0202820,2012-2016,Alaska,Yakutat City and Borough,646,40.5,0.431888545,0.010835913,0.311145511,0.058823529,0.010835913,0,0.148606811,0.027863777,0.218266254,0.197339246,66875,346,0.00107811
G0202900,2012-2016,Alaska,Yukon-Koyukuk Census Area,5600,35.2,0.2125,0.00375,0.700714286,0.007321429,0,0.00125,0.055357143,0.019107143,0.063928571,0.122564247,38451,2727,0.00849715
G0400010,2012-2016,Arizona,Apache County,72346,33.5,0.18571863,0.004865507,0.727020153,0.003580018,0.000884638,0.000497609,0.017955381,0.059478064,0.022917646,0.110589367,32460,18659,0.00904543
G0400030,2012-2016,Arizona,Cochise County,128177,40.3,0.562994921,0.037143949,0.008168392,0.017311998,0.002832021,0.001295084,0.026221553,0.344032081,0.047660657,0.231629447,45383,43147,0.02091661
G0400050,2012-2016,Arizona,Coconino County,138064,30.7,0.546195967,0.013428555,0.259510082,0.016767586,0.001108182,0.001868699,0.024010604,0.137110326,0.04375507,0.342085605,51106,44929,0.02178048
G0400070,2012-2016,Arizona,Gila County,53179,48.9,0.632223246,0.005528498,0.152917505,0.007596984,0,0,0.016247015,0.185486752,0.023843999,0.177373758,40593,21398,0.01037323
G0400090,2012-2016,Arizona,Graham County,37529,32.4,0.514615364,0.018119321,0.126328972,0.007061206,0.001305657,0.000346399,0.011244637,0.320978443,0.019957899,0.133240564,47422,11939,0.00578774
G0400110,2012-2016,Arizona,Greenlee County,9224,33.3,0.477775369,0.017779705,0.032632264,0.005529055,0,0,0.001192541,0.465091067,0.006721596,0.121968122,51813,3243,0.00157213
G0400120,2012-2016,Arizona,La Paz County,20304,55.1,0.588849488,0.003792356,0.120616627,0.006944444,0.002364066,0,0.015612687,0.261820331,0.024921198,0.104365931,36321,4931,0.00239043
G0400130,2012-2016,Arizona,Maricopa County,4088549,35.8,0.569181145,0.050136124,0.01541158,0.037619948,0.001921464,0.001253012,0.021608399,0.302868328,0.062402823,0.309688633,55676,1201934,0.5826683
G0400150,2012-2016,Arizona,Mohave County,203629,49.7,0.782526065,0.009517308,0.018906934,0.011486576,0.001370139,0.001055842,0.018052439,0.157084698,0.031964995,0.118788222,39856,74189,0.03596502
G0400170,2012-2016,Arizona,Navajo County,108209,35.8,0.419271964,0.006727721,0.431655408,0.006090066,0.000924138,0.001136689,0.023694887,0.110499127,0.03184578,0.144920297,36868,35409,0.01716542
G0400190,2012-2016,Arizona,Pima County,1003338,38.1,0.532715795,0.031997193,0.023838427,0.025935428,0.001281722,0.001334545,0.021837108,0.361059782,0.050388802,0.308006089,46764,360762,0.17488862
G0400210,2012-2016,Arizona,Pinal County,397604,38.3,0.578857356,0.043337089,0.046146417,0.0165944,0.003304796,0.00115693,0.018674359,0.291928653,0.039730486,0.184714769,51190,93805,0.04547438
G0400230,2012-2016,Arizona,Santa Cruz County,46547,36.4,0.152748835,0.001997981,0.001675726,0.007669667,0.000386706,0.000279288,0.00305068,0.832191119,0.011386341,0.224932249,38941,14926,0.00723576
G0400250,2012-2016,Arizona,Yavapai County,218586,51.9,0.811593606,0.005183315,0.015504195,0.007992278,0.000215018,0.000548983,0.018413805,0.1405488,0.027170084,0.255416377,46638,92780,0.04497748
G0400270,2012-2016,Arizona,Yuma County,203292,34,0.32745017,0.017964308,0.008814907,0.011476103,0.001254353,0.000546013,0.012833756,0.61966039,0.026110226,0.143865179,41467,40759,0.01975897
G0500010,2012-2016,Arkansas,Arkansas County,18569,41.2,0.703915127,0.257579837,0.000592385,5.39E-05,0,0,0.00791642,0.029942377,0.007970273,0.144291879,37330,6167,0.0055628
G0500030,2012-2016,Arkansas,Ashley County,20989,41.5,0.679879937,0.259183382,0.002048692,0,0,0.000905236,0.006527229,0.051455524,0.007432465,0.135872219,36352,8027,0.00724057
G0500050,2012-2016,Arkansas,Baxter County,40992,51.8,0.952429742,0.002463895,0.005318111,0.005537666,0.000170765,0,0.013685597,0.020394223,0.019394028,0.177381899,38115,19572,0.01765446
G0500070,2012-2016,Arkansas,Benton County,245231,35.1,0.747376963,0.014280413,0.012975521,0.035199465,0.004261288,0.001704515,0.023516603,0.160685232,0.064681871,0.307229637,59016,94262,0.08502681
G0500090,2012-2016,Arkansas,Boone County,37301,42.4,0.943406343,0.003404734,0.007613737,0.005120506,0.001233211,5.36E-05,0.016138978,0.023028873,0.022546312,0.149678604,38664,15912,0.01435304
G0500110,2012-2016,Arkansas,Bradley County,11096,40.9,0.564708003,0.290465032,0,0,0,0.000720981,0.002343187,0.141762797,0.003064167,0.142310736,34665,3617,0.00326263
G0500130,2012-2016,Arkansas,Calhoun County,5210,44.9,0.728598848,0.218809981,0.001151631,0.002111324,0.002879079,0,0.008445298,0.038003839,0.013435701,0.120140389,35446,2250,0.00202956
G0500150,2012-2016,Arkansas,Carroll County,27690,44.4,0.81087035,0.005092091,0.003430841,0.00884796,0.005092091,0,0.021451788,0.145214879,0.035391838,0.176917548,38145,10656,0.00961199
G0500170,2012-2016,Arkansas,Chicot County,11189,43.7,0.391366521,0.542228975,0.004200554,0.004111181,0,0,0.006434891,0.051657878,0.010546072,0.13134058,29628,4149,0.00374251
G0500190,2012-2016,Arkansas,Clark County,22684,33.6,0.693704814,0.235760889,0.00145477,0.007670605,0,0,0.016751896,0.044657027,0.0244225,0.24716536,35595,8365,0.00754545
G0500210,2012-2016,Arkansas,Clay County,15202,44,0.960136824,0.004999342,0.004078411,0.001710301,0,0.000723589,0.010261808,0.018089725,0.012695698,0.113485017,32404,5978,0.00539231
G0500230,2012-2016,Arkansas,Cleburne County,25587,47.9,0.950013679,0.005588776,0.004025482,0.005745105,0,0,0.010591316,0.024035643,0.016336421,0.153817544,41717,11968,0.01079545
G0500250,2012-2016,Arkansas,Cleveland County,8421,42.5,0.846930293,0.105094407,0.002256264,0.001068757,0,0,0.022206389,0.02244389,0.023275145,0.157465278,42429,3299,0.00297579
G0500270,2012-2016,Arkansas,Columbia County,24168,36,0.592188017,0.346863621,0.003144654,0.010592519,0,0.014233697,0.007365111,0.02561238,0.032191327,0.219148936,36507,8837,0.00797121
G0500290,2012-2016,Arkansas,Conway County,21060,41,0.817901235,0.117948718,0.004938272,0.000522317,0,0.000474834,0.020702754,0.037511871,0.021699905,0.169192615,38266,7837,0.00706918
G0500310,2012-2016,Arkansas,Craighead County,102884,33.9,0.779654757,0.138340267,0.002702072,0.011877454,0.000777575,0.000826173,0.018622915,0.047198787,0.032104117,0.253915382,43892,34968,0.03154206
G0500330,2012-2016,Arkansas,Crawford County,61927,38.8,0.854845221,0.013322137,0.014468649,0.017456037,0,8.07E-05,0.029938476,0.06988874,0.047475253,0.135496644,41792,22155,0.01998439
G0500350,2012-2016,Arkansas,Crittenden County,49511,34.7,0.436529256,0.505604815,0.00171679,0.006544,0.001514815,0.000908889,0.023934075,0.023247359,0.032901779,0.173911644,39407,15798,0.01425021
G0500370,2012-2016,Arkansas,Cross County,17329,40.3,0.732067632,0.231981072,0.001558082,0.00300075,0,0.000461654,0.012349241,0.018581568,0.015811645,0.147484494,39306,6831,0.00616174
G0500390,2012-2016,Arkansas,Dallas County,7738,43.4,0.533471181,0.40746963,0.000516929,0.017834066,0,0,0.011113983,0.02959421,0.028948049,0.126875347,35745,2741,0.00247245
G0500410,2012-2016,Arkansas,Desha County,12234,39.3,0.459130293,0.47629557,0.001144352,0.001144352,0,0.000735655,0.009073075,0.052476704,0.010953082,0.131835206,26519,4226,0.00381196
G0500430,2012-2016,Arkansas,Drew County,18688,36.8,0.671018836,0.287296661,0.000856164,0.001230736,0,0,0.010113442,0.029484161,0.011344178,0.198444924,33092,6552,0.00591008
G0500450,2012-2016,Arkansas,Faulkner County,120417,31.9,0.813107784,0.111329796,0.003280268,0.012365364,0.001411761,0.00031557,0.018709983,0.039479475,0.032802677,0.291141495,50872,46364,0.04182155
G0500470,2012-2016,Arkansas,Franklin County,17799,41,0.92640036,0.009045452,0.01398955,0.003595708,0.001460756,0,0.017360526,0.028147649,0.02241699,0.130138693,39482,6698,0.00604177
G0500490,2012-2016,Arkansas,Fulton County,12186,48.2,0.956589529,0.000738552,0.007467586,0.001477105,0,0,0.02076153,0.012965698,0.022238635,0.110337861,35593,4744,0.00427921
G0500510,2012-2016,Arkansas,Garland County,97119,44.1,0.829219823,0.081621516,0.006857566,0.007114983,9.27E-05,0.003233147,0.019718078,0.052142217,0.030158877,0.206230601,40011,40337,0.03638504
G0500530,2012-2016,Arkansas,Grant County,18046,39.3,0.931452954,0.043389117,0.003103181,0.00182866,0.000110828,0,0.010805719,0.009309542,0.012745207,0.198367809,49195,6855,0.00618339
G0500550,2012-2016,Arkansas,Greene County,43745,38.2,0.942484855,0.009395359,0.003406104,0.001188707,0.000457195,0.001097268,0.015818951,0.02615156,0.018562121,0.164431728,42755,14422,0.01300902
